Review Name,Review Text,Review Time,Rating
Ngân Phạm Kim Châu,Gọi điện nhờ tư vấn mà nhân viên không tư vấn rõ ràng cho khách mà còn nói chuyện với thái độ chán ghét khách ăn nói thiếu chuyên nghiệp cần phải coi lại,5 tháng trước,1 sao
Hanh Pham,Nam nhân viên tư vấn bán hàng ăn nói xấc láo mất dạy.. nói chuyện với khách hàng tự ngắt ngang điện thoại… cần chấn chỉnh lại,5 tháng trước,1 sao
Liêm Nguyễn Thanh,"Gọi cho tổng đài thì tất cả tổng đài viên đều bận , gọi qua cho bên chi nhánh này do thấy gần đ/c nhà nhất . Bắt máy khách chỉ vừa hỏi yêu cầu hỗ trợ đường truyền thì bảo khách liên hệ lại tổng đài rồi cúp máy ngang ? Cho dịch vụ của fpr là như vậy hay sao ? Làm ăn vớ va vớ vẫn như vậy thì chịu 🙄 …",6 tháng trước,1 sao
Hoang Pham,"Mặt bằng rộng rãi, trang trí đẹp, nhân viên làm việc tận tình, chuyên nghiệp.",2 năm trước,5 sao
Le Minh Tuan,"Mới gọi hồi sáng, trưa nay đã có nhân viên qua bắt, mình chọn gois~300k, thấy sóng lướt vi vu, mạnh lắm. Ai lắp mạng fpt ở tân bình thì cứ gọi bên này, đóng 6 tháng có giảm giá á",5 năm trước,5 sao
Nhat Le Trieu,Địa điểm lắp mạng fpt uy tín tại quận tân bình. tôi đã lắp mạng ở địa chỉ 24 đường phan huy ích và sử dụng được 2 năm. cảm thấy rất hài lòng với dịch vụ fpt tân bình,5 năm trước,5 sao
Jason Pham,thương hiệu rẻ tiền cho đi dán bậy tùm lum,một năm trước,1 sao
Trong Cao,muốn mua hàng mà nhân viên tư vấn rất tệ,một năm trước,1 sao
Ngọc,"Thái độ nhân viên thiếu chuyên nghiệp, lắp đặt chậm. Không bao giờ dùng mạng fpt",2 năm trước,1 sao
Văn Nguyễn,"Lắp đặt nhanh chóng, nhân viên tư vấn nhiệt tình. Cảm ơn sự hợp tác của các bạn. Chúc các bạn thành công.",5 năm trước,5 sao
